Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
52,1,3,1,0,4,6468,12,6,bad
31,2,2,1,1,0,9566,36,6,good
23,2,3,1,1,3,1961,18,2,good
23,2,1,3,1,1,6229,36,5,bad
27,1,2,1,1,4,1391,9,1,good
50,1,2,1,0,4,1537,15,6,good
61,1,3,2,1,4,1953,36,1,bad
25,1,2,1,1,4,14421,48,1,bad
26,2,2,1,1,0,3181,24,6,good
48,1,2,1,0,0,5190,27,7,good
29,2,2,1,1,0,2171,12,6,good
22,1,2,1,3,4,1007,12,2,good
37,1,2,2,1,0,1819,36,4,bad
25,2,2,1,0,0,2394,36,6,good
30,2,2,1,1,0,8133,36,2,good
46,1,1,3,0,0,730,7,6,good
51,1,3,2,1,1,1164,8,8,good
41,2,1,1,1,4,5954,42,1,good
40,1,3,1,0,1,1977,36,4,bad
66,1,3,2,1,1,1526,12,2,good
34,1,2,1,1,1,3965,42,6,bad
51,1,2,1,1,4,4771,11,6,good
39,1,1,1,0,0,9436,54,2,good
22,1,2,1,1,4,3832,30,5,good
44,2,2,1,0,0,5943,24,6,bad
47,1,2,1,2,0,1213,15,6,good
24,2,1,3,4,0,1568,18,1,good
58,2,1,1,1,1,1755,24,8,good
52,1,1,1,1,1,2315,10,6,good
29,2,3,1,1,0,1412,12,1,good
27,2,2,1,1,4,1295,18,5,good
47,1,2,2,4,4,12612,36,4,bad
30,1,3,1,4,1,2249,18,2,good
28,1,2,1,1,1,1108,12,7,bad
56,1,2,1,1,0,618,12,6,good
54,1,2,1,1,1,1409,12,2,good
33,2,1,1,0,0,797,12,6,bad
20,1,2,3,0,3,3617,24,5,good
54,1,2,1,3,4,1318,12,2,good
58,1,2,3,1,4,15945,54,1,bad
61,2,2,1,0,0,2012,12,4,good
34,1,2,1,4,4,2622,18,1,good
36,1,2,1,1,4,2337,36,6,good
36,1,3,3,0,4,7057,20,2,good
41,1,1,3,4,0,1469,24,2,good
24,1,2,3,1,4,2323,36,6,good
24,2,2,1,1,0,932,6,6,good
35,1,2,3,1,4,1919,9,5,good
26,1,2,3,0,0,2445,12,2,good
39,1,3,1,1,4,11938,24,8,bad
39,1,3,1,1,0,6458,18,2,bad
32,1,2,1,1,4,6078,12,2,good
30,2,2,1,0,1,7721,24,5,good
35,1,2,1,2,4,1410,14,1,good
31,1,2,1,4,4,1449,6,1,good
23,2,2,3,1,3,392,15,4,good
28,1,1,3,1,4,6260,18,2,good
25,2,2,1,1,0,7855,36,2,bad
35,1,2,1,2,1,1680,12,6,good
47,1,2,1,0,0,3578,48,6,good
30,2,3,1,0,1,7174,42,6,bad
27,2,2,3,0,1,2132,10,5,good
23,2,2,1,2,1,4281,33,5,bad
36,1,3,1,2,4,2366,12,2,good
25,2,2,1,1,1,1835,21,6,bad
41,2,3,3,1,0,3868,24,2,good
24,1,1,3,1,0,1768,12,5,good
63,1,2,2,1,3,781,10,2,good
27,2,2,3,0,4,1924,18,5,bad
30,1,2,1,1,1,2121,12,2,good
40,1,1,1,1,1,701,12,6,good
30,1,2,1,1,4,639,12,7,bad
34,1,3,1,1,4,1860,12,2,good
29,2,2,1,1,1,3499,12,2,bad
24,2,2,1,0,4,8487,48,2,good
29,1,2,1,1,1,6887,36,4,bad
27,1,1,1,1,0,2708,15,5,good
47,1,2,2,1,0,1984,18,5,good
21,2,2,1,4,0,10144,60,6,good
38,2,2,1,0,0,1240,12,6,good
27,1,2,1,3,0,8613,27,2,good
66,1,1,1,2,4,766,12,6,bad
35,1,2,1,0,4,2728,15,6,good
44,2,1,3,1,3,1881,12,6,good
27,1,0,1,3,3,709,6,2,good
30,2,3,1,1,4,4795,36,6,good
27,1,3,1,1,1,3416,27,6,good
22,1,2,1,1,1,2462,18,5,bad
23,2,2,1,1,0,2288,21,5,good
30,1,2,1,4,4,3566,48,1,good
39,2,2,1,1,1,860,6,2,good
51,2,2,1,4,0,682,12,2,good
28,1,2,1,1,1,5371,36,5,good
46,1,2,1,3,0,1582,18,6,good
42,1,2,2,4,0,1346,6,6,good
38,1,2,1,1,0,1924,10,6,good
24,1,2,1,1,3,5848,36,6,good
29,2,2,3,3,4,7758,24,2,good
36,1,3,3,4,4,6967,24,1,good
20,2,2,3,1,1,1282,12,5,bad
48,1,2,1,4,1,1288,9,7,good
45,1,1,1,1,1,339,12,4,good
38,1,2,1,4,4,3512,24,2,good
34,1,1,1,0,0,1898,6,6,good
36,1,2,1,4,0,2872,24,6,good
30,2,2,1,1,0,1055,18,2,good
36,1,2,1,2,0,1262,15,3,good
70,1,3,2,1,4,7308,10,2,good
36,1,2,1,2,0,909,36,2,good
32,1,2,1,2,0,2978,6,5,good
33,2,2,1,1,1,1131,18,5,bad
20,2,2,1,3,4,1577,11,5,good
25,2,2,3,1,0,3972,24,5,good
31,1,2,1,1,4,1935,24,1,bad
33,1,2,3,1,1,950,15,2,bad
26,2,2,1,1,0,763,12,5,good
34,2,3,1,1,4,2064,24,5,bad
33,1,2,1,1,4,1414,8,6,good
26,1,2,1,1,1,3414,21,4,bad
53,2,3,1,0,0,7485,30,2,bad
42,1,2,1,1,1,2577,12,5,good
52,1,2,1,2,1,338,6,6,good
31,1,3,3,1,0,1963,12,6,good
65,1,2,1,1,1,571,21,2,good
28,1,2,1,1,0,9572,36,1,bad
30,1,3,1,1,4,4455,36,1,bad
40,1,1,1,0,1,1647,21,2,bad
50,1,2,1,3,0,3777,24,5,good
36,1,2,1,1,4,884,18,2,bad
31,1,2,1,1,0,1360,15,6,good
74,2,3,2,1,4,5129,9,2,bad
68,1,0,2,1,4,1175,16,2,good
20,1,2,1,4,1,674,12,6,bad
33,2,2,1,1,4,3244,18,5,good
54,1,3,1,3,0,4591,24,1,bad
34,1,1,2,4,4,3844,48,1,bad
36,1,2,1,1,4,3915,27,1,bad
29,1,2,3,1,0,2108,6,6,good
21,1,2,3,4,4,3031,45,6,bad
34,2,3,1,1,4,1501,9,4,bad
28,2,2,1,1,0,1382,6,6,good
27,2,2,3,4,4,951,12,5,bad
36,1,2,2,0,4,2760,24,2,good
40,1,3,1,1,4,4297,18,5,bad
52,1,2,1,2,0,936,9,4,good
27,1,1,1,1,1,1168,12,2,good
26,1,2,1,1,0,5117,27,1,good
21,1,2,3,1,1,902,12,4,bad
38,1,1,1,1,0,1495,12,2,good
38,1,3,2,1,1,10623,30,2,good
43,1,2,1,1,0,1935,12,5,good
26,1,2,1,1,4,1424,12,3,good
21,1,1,1,1,1,6568,24,1,good
55,1,2,1,3,0,1413,12,2,good
33,1,2,1,0,0,3074,9,6,good
45,2,1,1,0,0,3835,36,6,good
50,1,2,1,1,1,5293,27,1,bad
66,1,3,1,1,3,1908,30,1,bad
51,1,2,1,0,0,3342,36,6,good
39,2,1,1,0,4,932,6,4,good
31,1,2,1,1,1,3104,18,1,good
23,1,2,1,1,3,3913,36,6,good
24,1,1,3,1,1,3021,24,5,good
64,2,2,1,1,0,1364,10,2,good
26,1,1,1,1,4,625,12,6,good
23,2,2,3,0,1,1200,12,4,good
30,1,2,1,1,0,707,12,6,good
32,1,2,1,0,0,2978,24,1,good
30,1,2,1,1,0,4657,15,2,good
27,1,2,1,1,0,2613,36,7,good
27,1,2,1,3,4,10961,48,6,bad
53,1,3,2,1,1,7865,12,5,bad
22,1,2,1,1,0,1478,9,6,bad
22,1,2,2,1,1,3149,24,5,good
26,1,2,1,1,3,4210,36,6,bad
51,1,1,2,2,0,2507,9,2,good
35,1,2,1,4,0,2141,12,6,good
25,1,1,1,1,4,866,18,6,good
42,1,1,1,1,0,1544,4,6,good
30,1,3,1,1,1,1823,24,6,bad
23,1,0,1,0,4,14555,6,2,bad
61,1,1,3,4,4,2767,21,1,bad
35,2,2,1,1,0,1291,12,6,good
39,1,2,1,1,1,2522,30,6,good
29,2,2,1,0,1,915,24,2,bad
51,1,2,1,1,0,1595,6,6,good
24,1,2,2,1,1,4605,48,2,bad
27,2,2,1,1,0,1185,12,1,good
35,2,1,1,2,0,3447,12,4,good
25,1,2,1,1,0,1258,24,1,good
52,1,2,1,1,0,717,12,6,good
35,1,2,3,4,0,1204,6,2,good
26,1,2,1,1,3,1925,24,5,good
22,2,2,3,1,0,433,18,6,bad
39,2,1,1,3,1,666,6,2,good
46,2,1,1,1,3,2251,12,5,good
24,2,2,1,1,4,2150,30,2,bad
35,1,2,1,4,0,4151,24,5,good
24,1,2,1,0,4,2030,9,5,good
27,1,1,1,0,4,7418,60,6,good
35,1,1,1,1,0,2684,24,6,good
29,1,2,2,1,1,2149,12,6,bad
23,2,2,1,4,0,3812,15,2,good
57,2,1,1,4,0,1154,11,6,good
27,1,2,1,1,1,1657,12,5,good
55,2,2,1,1,1,1603,24,6,good
36,1,3,2,1,1,5302,18,2,good
57,2,1,2,1,0,2748,12,4,good
32,1,1,1,1,0,1231,10,2,good
37,1,2,1,1,4,802,15,6,bad
36,1,2,1,0,0,6304,36,1,good
38,2,2,1,1,0,1533,24,6,good
45,1,3,1,1,1,8978,14,2,bad
25,1,2,1,0,0,999,24,6,good
32,1,2,1,0,0,2662,18,2,good
37,2,2,3,2,0,1402,12,5,good
36,1,3,2,0,4,12169,48,2,good
28,1,2,1,1,4,3060,48,6,bad
34,1,1,1,1,1,11998,30,7,bad
32,1,2,1,1,0,2697,9,6,good
26,2,2,1,1,0,2404,18,6,good
49,1,1,1,0,1,1262,12,5,good
32,2,2,1,1,0,4611,6,5,bad
29,1,3,3,4,0,1901,24,6,good
23,1,2,3,3,0,3368,15,2,good
50,1,2,1,1,0,1574,12,5,good
49,1,1,1,0,3,1445,18,6,good
63,1,2,1,0,0,1520,15,5,good
37,1,2,1,4,4,3878,24,2,good
35,2,1,1,1,1,10722,47,2,good
26,1,2,1,1,1,4788,48,2,good
31,1,3,2,4,4,7582,48,8,good
49,2,2,1,1,4,1092,12,6,good
48,1,2,1,1,1,1024,24,6,bad
26,1,2,1,1,0,1076,12,1,good
28,1,3,3,1,4,9398,36,2,bad
44,2,3,2,1,1,6419,24,2,good
56,1,2,2,1,3,4796,42,2,good
46,1,3,1,0,0,7629,48,1,good
26,2,2,1,1,4,9960,48,5,bad
20,2,2,3,0,0,4675,12,2,good
45,1,1,1,0,0,1287,10,2,good
43,1,2,1,1,0,2515,18,5,good
32,1,2,1,3,4,2745,21,5,good
54,2,0,1,1,0,672,6,2,good
42,2,2,1,1,4,3804,36,6,bad
37,1,1,1,0,3,1344,24,2,bad
49,1,2,1,1,1,1038,10,2,good
44,1,2,2,2,0,10127,48,2,bad
33,1,2,1,3,0,1543,6,5,good
24,2,1,3,0,0,4811,30,2,good
33,1,1,1,4,1,727,12,6,bad
24,2,2,1,1,4,1237,8,5,bad
22,1,1,3,1,4,276,9,2,good
40,1,0,2,0,4,5381,48,8,good
25,1,2,1,4,0,5511,24,5,good
26,2,2,1,1,3,3749,24,5,good
25,1,1,1,1,4,685,12,2,bad
29,1,1,1,0,3,1494,4,2,good
31,1,2,1,1,1,2746,36,5,bad
38,1,1,1,1,1,708,12,5,good
48,2,1,1,0,4,4351,24,5,good
32,1,2,1,1,0,701,12,4,good
27,2,1,1,1,1,3643,15,5,good
28,1,3,1,1,4,4249,30,2,bad
32,1,2,1,1,1,1938,24,6,bad
34,1,3,2,1,1,2910,24,2,good
28,1,2,1,3,1,2659,18,5,good
36,2,2,1,1,0,1028,18,2,good
39,1,1,1,1,1,3398,8,2,good
49,1,2,3,0,0,5801,12,5,good
34,2,2,1,3,0,1525,24,2,good
31,1,2,1,1,3,4473,36,6,good
28,1,2,1,1,4,1068,6,6,good
75,1,3,2,1,1,6615,24,2,good
30,2,2,1,4,0,1864,18,4,bad
24,2,3,1,4,4,7408,60,2,bad
24,2,1,3,4,0,11590,48,2,bad
23,1,2,3,1,1,4110,24,5,bad
44,1,3,3,1,1,3384,6,5,bad
23,2,1,1,1,4,2101,13,6,good
24,2,2,3,0,1,1275,15,3,bad
28,1,2,1,1,1,4169,24,5,good
31,1,1,1,1,4,1521,10,5,good
24,2,2,2,1,4,5743,24,4,good
26,2,1,3,1,1,3599,21,5,good
25,1,2,3,2,4,3213,18,6,good
33,1,3,1,1,4,4439,18,1,good
37,1,1,1,1,3,3949,10,2,good
43,2,1,1,1,0,1459,15,6,good
23,1,2,1,1,4,882,13,6,good
23,2,0,3,2,4,3758,24,6,good
34,1,1,1,4,0,1743,6,1,good
32,1,2,2,3,4,1136,9,4,bad
23,2,2,3,1,0,1236,9,3,good
29,2,2,1,1,4,959,9,5,bad
38,1,3,1,0,0,3229,18,2,good
28,1,2,3,1,1,6199,12,6,bad
46,1,2,2,2,0,727,10,4,good
23,1,1,1,1,4,1246,24,2,bad
49,1,2,1,0,0,2331,12,6,good
26,1,3,1,1,0,4463,36,6,bad
28,1,2,1,1,0,776,12,6,good
23,2,2,3,1,1,2406,30,5,bad
61,1,2,2,0,4,1239,18,4,good
37,1,3,1,0,3,3399,12,6,good
36,2,2,1,1,3,2247,12,2,good
21,1,2,3,1,0,1766,6,5,good
25,1,0,1,1,1,2473,18,5,bad
36,1,2,1,1,0,1542,12,1,good
27,1,2,1,1,0,3850,18,2,good
22,2,2,3,1,1,3650,18,5,good
42,1,2,1,1,1,3446,36,5,bad
40,2,2,3,1,4,3001,18,5,good
36,1,2,1,0,0,3079,36,2,good
33,1,2,1,1,0,6070,18,6,good
23,2,2,3,1,0,2146,10,5,good
63,1,3,2,0,0,13756,60,2,good
60,2,3,2,4,4,14782,60,8,bad
37,2,2,3,1,1,7685,48,1,bad
34,1,2,1,1,0,2320,18,6,good
36,1,2,2,0,0,846,7,6,good
57,1,3,2,1,4,14318,36,2,bad
52,2,1,1,4,0,362,6,2,good
39,1,2,1,0,1,2212,20,5,good
38,2,3,2,1,4,12976,18,2,bad
25,2,2,3,0,0,1283,22,2,good
26,1,2,1,1,3,1330,12,2,good
26,1,1,1,4,0,4272,30,1,good
25,2,2,1,1,0,2238,18,6,good
21,2,2,3,0,0,1126,18,6,good
40,1,3,1,1,4,7374,18,5,good
27,1,2,1,2,4,2326,15,1,good
27,2,2,1,1,0,1449,9,1,good
30,1,3,1,1,0,1820,18,2,good
19,2,1,3,3,4,983,12,5,good
39,1,3,2,1,1,3249,36,2,good
31,2,2,1,1,1,1957,6,6,good
31,1,3,1,1,0,2406,9,5,good
32,1,2,3,4,4,11760,39,4,good
55,2,3,2,1,1,2578,12,5,good
46,1,2,1,1,1,2348,36,5,good
46,1,2,3,1,4,1223,12,2,bad
43,2,1,1,3,0,1516,24,6,good
39,1,2,1,1,0,1473,18,6,good
28,1,2,1,0,4,1887,18,1,good
27,1,2,1,1,0,8648,24,1,bad
27,1,1,1,1,0,802,14,2,good
43,1,2,1,0,4,2899,18,2,good
22,1,2,1,1,4,2039,24,6,bad
43,1,2,1,0,0,2197,24,2,good
27,1,2,1,1,1,1053,15,6,good
26,1,3,1,2,0,3235,24,6,good
28,1,2,1,2,3,939,12,2,bad
20,2,2,1,1,4,1967,24,6,good
35,1,3,1,1,0,7253,33,2,good
42,1,3,1,1,0,2292,12,1,bad
40,1,1,3,2,0,1597,10,2,good
35,2,2,1,0,1,1381,24,2,bad
35,1,2,1,1,0,5842,36,2,good
33,1,1,1,1,1,2579,12,2,bad
23,2,2,3,0,1,8471,18,4,good
31,2,3,1,2,0,2782,21,2,good
33,2,2,1,0,4,1042,18,2,bad
20,2,2,3,3,0,3186,15,2,good
30,1,2,1,0,4,2028,12,2,good
47,1,1,1,1,4,958,12,2,good
34,1,3,1,4,0,1591,21,5,good
25,2,2,1,0,4,2762,12,5,bad
21,1,2,3,1,4,2779,18,2,good
29,1,2,1,1,0,2743,28,6,good
46,1,2,1,3,0,1149,18,6,good
20,1,2,1,1,0,1313,9,5,good
55,2,0,2,1,1,1190,18,7,bad
74,1,1,1,1,0,3448,5,1,good
29,1,3,1,1,4,11328,24,8,bad
36,1,3,2,1,1,1872,6,5,good
33,1,2,1,1,0,2058,24,7,good
25,1,2,1,1,1,2136,9,5,good
25,1,2,1,0,4,1484,12,6,bad
23,1,1,3,2,0,660,6,7,good
37,2,2,1,3,0,1287,24,2,good
65,1,0,1,1,1,3394,42,7,good
26,2,0,1,1,3,609,12,1,bad
39,1,3,1,1,0,1884,12,2,good
30,2,2,1,1,1,1620,12,5,good
29,1,2,1,1,4,2629,20,8,good
41,1,1,1,1,0,719,12,4,bad
30,2,3,1,1,4,5096,48,5,bad
41,2,1,3,0,0,1244,9,4,good
34,2,2,1,1,1,1842,36,2,bad
35,1,2,1,1,4,2576,7,6,good
55,2,3,1,0,3,1424,12,5,good
61,1,2,1,3,4,1512,15,7,bad
30,1,3,1,0,0,11054,36,2,good
29,2,2,1,1,0,518,6,6,good
34,1,2,1,1,0,2759,12,5,good
35,1,3,1,1,0,2670,24,2,good
31,1,2,1,1,1,4817,24,2,bad
29,2,3,1,1,0,2679,24,2,good
36,1,2,3,1,1,3905,11,2,good
35,1,2,2,1,1,3386,12,2,bad
27,2,2,1,1,1,343,6,3,good
32,1,2,1,1,0,4594,18,6,good
37,1,2,1,1,1,3620,36,5,good
36,1,2,1,1,1,1721,15,2,good
34,2,3,3,1,4,3017,12,5,good
38,1,2,1,0,4,754,12,4,good
34,1,2,1,1,0,1950,18,1,good
63,1,2,1,1,1,2924,24,2,good
29,2,1,3,1,1,1659,24,6,bad
32,1,2,1,0,0,7238,48,6,good
26,2,2,1,1,0,2764,33,1,good
35,1,1,1,1,0,4679,24,2,good
22,1,2,3,4,4,3092,24,6,bad
23,2,2,1,1,1,448,6,4,bad
28,1,1,1,1,1,654,9,2,bad
36,1,3,1,0,0,1238,6,4,good
33,1,2,1,1,4,1245,18,6,bad
26,2,2,3,1,1,3114,18,5,bad
24,1,2,1,2,0,2569,39,2,good
25,1,2,1,1,3,5152,24,6,good
39,1,1,1,4,4,1037,12,1,good
44,1,2,1,1,1,1478,15,5,good
23,2,1,1,1,4,3573,12,6,good
26,1,2,1,1,4,1201,24,2,good
57,2,2,3,3,1,3622,30,5,good
30,2,2,1,3,0,960,15,5,good
44,1,2,1,2,0,1163,12,2,good
47,1,3,1,1,4,1209,6,2,bad
52,1,2,1,1,0,3077,12,6,good
62,2,2,2,1,0,3757,24,2,good
35,1,1,3,4,0,1418,10,2,good
26,1,2,3,1,0,3518,6,2,good
26,1,2,1,1,0,1934,12,6,good
42,2,3,2,1,4,8318,27,1,bad
27,2,2,1,4,0,1237,6,6,good
38,1,2,1,0,4,368,6,6,good
39,1,1,3,1,1,2122,12,2,good
20,1,2,1,0,1,2996,24,5,bad
29,1,3,3,4,4,9034,36,5,bad
40,1,2,1,1,0,1585,24,5,good
32,1,1,1,1,4,1301,18,6,good
28,1,2,1,4,3,1323,6,2,good
27,2,2,1,1,1,3123,24,2,bad
42,1,2,2,1,1,5493,36,2,good
49,1,2,1,4,3,1126,9,6,good
38,1,2,1,4,4,1216,24,6,bad
24,2,2,3,1,1,1207,24,2,bad
27,1,1,1,0,0,1309,10,2,bad
36,1,2,1,2,3,2360,15,2,good
34,1,3,1,4,4,6850,15,2,bad
28,1,2,1,1,0,1413,24,6,good
45,1,3,1,4,0,8588,39,2,good
26,1,2,1,1,1,759,12,2,bad
32,1,3,2,1,0,4686,36,2,good
26,1,2,3,1,3,2687,15,1,good
20,1,2,3,1,4,585,12,6,good
54,1,2,1,0,0,2255,24,2,good
37,2,2,1,1,1,609,6,2,good
40,1,1,1,1,1,1361,6,2,good
23,2,2,3,1,0,7127,36,5,bad
43,1,2,1,4,1,1203,6,2,good
36,1,2,2,0,0,700,6,6,good
44,1,2,2,1,0,5507,24,7,good
24,2,2,1,1,1,3190,18,6,bad
53,1,2,2,1,1,7119,48,5,bad
23,2,2,1,4,0,3488,24,2,good
26,2,1,1,1,4,1113,18,6,good
30,1,2,1,1,4,7966,26,2,good
31,2,2,1,4,0,1532,15,4,good
42,1,1,1,1,0,1503,4,6,good
31,1,2,3,1,1,2302,36,6,bad
41,1,1,1,1,1,662,6,2,good
32,1,2,1,1,4,2273,36,4,good
28,2,2,3,4,4,2631,15,2,bad
41,1,2,3,1,0,1503,12,2,good
26,1,2,1,4,0,1311,24,6,good
25,1,2,1,0,0,3105,24,6,good
33,1,2,3,1,3,2319,21,4,bad
75,2,3,1,0,1,1374,6,2,good
37,2,2,1,1,4,3612,18,5,good
42,1,3,2,1,1,7763,48,2,bad
45,2,1,1,1,3,3049,18,5,good
23,1,2,3,1,4,1534,12,6,bad
60,1,2,2,1,0,2032,24,2,good
31,1,2,1,0,1,6350,30,5,bad
34,1,1,1,1,3,2864,18,5,bad
61,1,1,1,1,0,1255,12,2,good
43,1,2,2,1,1,1333,24,2,bad
37,2,2,1,1,0,2022,24,2,good
32,1,2,1,1,0,1552,24,6,good
24,2,1,1,1,1,626,12,6,bad
35,1,2,2,0,0,8858,48,2,good
23,2,2,1,0,0,996,12,7,good
45,1,1,1,2,0,1750,6,6,good
34,1,2,1,1,1,6999,48,6,bad
27,1,2,1,4,4,1995,12,2,good
67,2,3,1,1,4,1199,9,4,good
22,1,2,1,1,4,1331,12,6,bad
28,2,2,1,4,4,2278,18,2,bad
29,2,2,1,0,0,5003,21,2,bad
27,1,2,1,1,1,3552,24,5,bad
31,1,1,1,1,4,1928,18,5,bad
49,1,2,2,0,1,2964,24,2,good
24,1,1,3,1,1,1546,24,6,bad
29,2,2,1,1,3,683,6,6,good
37,1,2,2,0,4,12389,36,2,bad
37,1,3,1,0,4,4712,24,1,good
23,2,2,3,4,4,1553,24,6,good
36,1,2,1,1,1,1372,12,2,bad
34,1,2,1,3,0,2578,24,6,good
41,1,2,1,0,4,3979,48,6,good
31,2,2,1,1,1,6758,48,6,bad
23,2,1,3,1,1,3234,24,5,bad
38,1,2,1,1,0,5954,30,6,good
26,2,3,3,0,0,5433,24,2,good
22,2,1,1,1,1,806,15,1,good
27,1,1,1,1,4,1082,9,6,good
24,2,2,1,1,0,2788,15,5,good
27,2,2,1,1,4,2930,12,6,good
33,2,2,1,0,0,1927,24,4,good
27,1,2,1,1,4,2820,36,2,bad
27,1,1,1,1,0,937,24,4,good
30,1,2,1,1,4,1056,18,2,bad
49,1,1,1,1,4,3124,12,2,good
26,2,2,3,1,0,1388,9,5,good
33,1,1,3,1,4,2384,36,7,bad
52,2,3,2,0,0,2133,12,2,good
20,2,2,3,1,1,2039,18,5,bad
36,1,2,3,1,1,2799,9,2,good
21,1,1,1,1,1,1289,12,5,good
47,1,1,1,1,1,1217,18,3,bad
60,1,2,1,1,1,2246,12,5,bad
58,2,1,1,1,1,385,12,6,good
42,2,2,3,0,4,1965,24,2,good
36,2,1,1,3,0,1572,21,1,good
20,2,1,3,1,4,2718,24,2,bad
40,1,3,1,0,1,1358,24,8,bad
32,2,1,1,4,4,931,6,2,bad
23,2,2,3,1,1,1442,24,2,bad
36,1,1,1,1,4,4241,24,1,bad
31,1,2,1,1,0,2775,18,2,bad
32,1,2,2,1,0,3863,24,1,good
45,2,2,1,1,4,2329,7,6,good
30,2,2,1,1,4,918,9,5,bad
34,2,1,2,1,4,1837,24,4,bad
28,2,3,1,1,0,3349,36,5,bad
23,2,2,1,1,3,1275,10,5,good
22,1,2,1,2,1,2828,24,5,good
74,1,3,1,1,0,4526,24,1,good
50,2,2,2,4,4,2671,36,6,bad
33,1,2,1,1,0,2051,18,6,good
45,1,2,2,0,0,1300,15,2,good
22,2,2,1,4,1,741,12,3,bad
48,2,1,2,4,3,1240,10,2,bad
29,2,2,1,3,1,3357,21,6,good
22,2,2,3,1,1,3632,24,2,good
22,2,2,1,1,0,1808,18,5,bad
48,1,3,1,0,4,12204,48,1,good
27,1,3,2,0,4,9157,60,6,good
37,1,2,3,1,1,3676,6,2,good
21,2,2,3,4,4,3441,30,5,bad
49,1,1,1,1,0,640,12,2,good
27,1,2,1,1,4,3652,21,1,good
32,1,2,1,1,0,1530,18,2,bad
38,1,2,1,0,0,3914,48,1,bad
22,2,2,3,1,1,1858,12,5,good
65,1,2,2,1,1,2600,18,6,bad
35,1,2,1,0,0,1979,15,6,good
41,1,2,1,1,3,2116,6,5,good
29,1,2,1,4,4,1437,9,2,bad
36,1,2,1,2,0,4042,42,5,good
64,1,1,1,0,0,3832,9,4,good
28,2,2,1,1,1,3660,24,6,good
44,1,2,1,1,1,1553,18,5,bad
23,1,2,1,0,4,1444,15,6,good
19,2,2,3,1,0,1980,9,5,bad
25,2,1,1,1,4,1355,24,2,bad
47,1,2,1,1,0,1393,12,4,good
28,2,2,1,2,0,1376,24,6,good
21,1,2,1,1,0,15653,60,6,good
34,2,2,1,1,0,1493,12,6,good
26,1,2,1,1,1,4370,42,6,bad
27,2,0,1,1,1,750,18,4,bad
38,1,1,1,1,4,1308,15,7,good
40,1,3,1,4,0,4623,15,4,bad
33,1,2,1,1,0,1851,24,6,good
32,1,3,1,1,1,1880,18,6,good
27,1,2,3,0,0,7980,36,1,bad
32,1,2,1,1,1,4583,30,5,good
26,2,2,1,2,0,1386,12,2,bad
38,1,2,2,1,3,947,24,2,bad
40,1,1,3,1,1,684,12,4,bad
50,1,3,2,1,1,7476,48,4,good
37,1,1,1,1,4,1922,12,5,bad
45,1,2,1,1,1,2303,24,2,bad
42,1,3,1,4,4,8086,36,2,bad
35,1,2,1,1,0,2346,24,2,good
22,1,2,2,1,1,3973,14,2,good
