fLength;fWidth;fSize;fConc;fConc1;fAsym;fM3Long;fM3Trans;fAlpha;fDist;class
632.886;26.427;34.434;0.2342;0.1273;-273.566;546.506;197.834;0.9753;302.897;g
24.999.000.000.000.000;146.867;25.434;0.43200000000000005;0.2332;58.044;192.386;-103.623;9.862;174.003;g
359.913;194.494;27.466;0.3297;0.1801;-340.069;-253.956;-63.628;0.2425;175.99;g
440.846;230.143;28.974;0.1963;0.0994;259.525;-351.309;193.011;16.119;21.059.599.999.999.900;g
653.574;223.483;27.376;0.2855;0.1601;-892.907;-312.444;-197.587;4.874;272.68;g
437.724;20.352.999.999.999.900;28.982;0.2743;0.141;329.358;384.208;111.037;16.25;273.837;g
334.858;150.766;27.969;0.3623;0.1891;333.189;191.818;-68.774;129.506;16.906.599.999.999.900;g
928.723;25.685;31.553;0.242;0.1619;-255.033;51.797;-190.013;77.301;304.585;g
196.562;97.376;2.238;0.578;0.3266;-240.292;-9.836;-28.001;63.03;11.834.100.000.000.000;g
968.578;394.755;39.903;0.1204;0.0679;-590.369;660.291;-26.430.999.999.999.900;38.107;340.996;g
955.207;345.134;41.295;0.1005;0.0543;211.988;88.912;-153.593;0.084;260.879;g
227.945;148.676;25.669.999.999.999.900;0.5203;0.294;-87.481;-203.785;12.765;67.835;110.258;g
667.336;24.94;34.357;0.1683;0.0889;273.604;670.539;-73.935;9.941;223.912;g
450.172;184.512;2.699;0.284;0.16699999999999998;-10.745.999.999.999.900;-375.851;-136.786;8.718;17.864.700.000.000.000;g
996.416;135.477;24.362;0.3846;0.1996;487.119;922.613;77.025;745.664;577.231;g
208.112;71.717;21.255;0.7041;0.3558;-15.465;89.641;-60.245;85.103;235.951;g
963.755;313.902;3.359;0.2179;0.1376;-34.801;610.636;205.479;9.782;30.732.099.999.999.900;g
303.331;149.817;24.526;0.4762;0.2416;-322.094;-201.641;-51.006;0.9075;745.242;g
209.491;70.366;21.414;0.7292;0.3935;-229.802;-121.656;60.883;40.656;146.512;g
496.143;281.482;32.641;0.1769;0.08900000000000001;440.893;260.127;22.939;0.67;150.761;g
269.766;97.238;23.064;0.4593;0.2395;-123.167;16.287;16.476;3.675;197.338;g
29.816.999.999.999.900;198.364;27.372;0.3718;0.239;100.066;239.409;150.702;159.328;22.218.400.000.000.000;g
230.242;132.275;22.188;0.4471;0.2326;-256.063;-10.429;55.499;334.008;21.081.900.000.000.000;g
661.331;259.259;31.984;0.1495;0.075;422.957;505.528;-127.104;115.159;160.519;g
349.502;160.121;30.663;0.297;0.1644;-125.192;111.413;-75.776;176.684;20.140.400.000.000.000;g
236.353;114.736;24.661;0.6291;0.4085;-156.487;-188.315;-99.017;43.565;19.438.400.000.000.000;g
204.754;157.636;24.425;0.4116;0.2148;2.48;-104.986;-3.923;138.089;554.986;g
597.337;170.227;27.997;0.2966;0.1895;510.255;545.868;-140.979;5.093.999.999.999.990;217.856;g
226.397;102.608;21.492;0.5603;0.3156;234.366;186.537;-108.294;143.756;251.28;g
9.293.700.000.000.000;221.354;30.885;0.3108;0.1937;186.509;485.227;142.821;3.497;358.99;g
865.636;368.235;38.026;0.1508;0.0809;-240.564;609.768;261.668;26.430.000.000.000.000;306.55;g
393.737;120.817;27.763;0.3213;0.1615;181.724;136.391;65.266;37.449;201.01;g
412.629;209.786;31.361;0.2807;0.1626;232.559;433.331;12.715;76.147;219.077;g
898.648;336.384;38.899;0.1487;0.0805;220.971;985.182;14.069;36.889.999.999.999.900;158.618;g
24.999.000.000.000.000;17.775;25.993;0.4327;0.2453;-163.719;-255.307;148.483;818.671;12.026.299.999.999.900;g
195.793;146.976;22.934;0.514;0.2824;-68.054;173.916;-49.889;13.17;130.918;g
218.344;6.832.000.000.000.000;21.804;0.7063;0.3531;25.980.999.999.999.900;-0.1704;66.103;354.993;957.374;g
875.837;333.742;39.208;0.125;0.0667;992.131;750.174;-143.854;2.428;255.315;g
537.339;154.395;24.298;0.4572;0.2955;-458.108;-403.603;-93.853;1.886;326.827;g
34.889;196.402;28.429;0.3747;0.2534;299.825;291.531;124.846;8.376;22.733.599.999.999.900;g
410.677;162.578;27.308;0.3532;0.1812;474.405;379.125;161.237;17.671;213.317;g
600.261;12.245;28.052;0.26;0.1433;35.656;552.047;85.485;13.841;23.008.900.000.000.000;g
700.322;302.255;31.573;0.1775;0.0929;-664.032;484.611;-249.966;29.360.000.000.000.000;294.746;g
745.714;230.735;29.914;0.3182;0.1627;-365.281;63.076;-122.594;4.029;36.348.900.000.000.000;g
779.219;318.209;37.043;0.2059;0.1232;-24.392;581.668;-14.370.999.999.999.900;0.2442;32.799.199.999.999.900;g
391.755;263.821;27.966;0.345;0.2005;-381.241;254.219;170.574;64.974;299.173;g
181.607;104.502;22.718;0.6043;0.3289;17.266;-7.66;-63.001;433.661;147.236;g
254.762;120.898;24.048;0.4134;0.2303;70.323;157.982;62.085;24.846.999.999.999.900;19.334.900.000.000.000;g
234.494;162.843;25.605;0.4539;0.2655;-88.017;-159.867;10.389.000.000.000.000;838.081;235.203;g
320.586;156.976;25.072;0.3826;0.2037;-23.114;-177.455;-113.244;121.807;193.794;g
184.475;117.563;24.074;0.5714;0.4051;-0.0948;-65.384;11.397;692.291;219.394;g
414.001;25.658;30.414;0.2036;0.1023;39.265;305.051;-233.496;0.6344;91.228;g
925.854;112.825;30.071;0.3119;0.1923;-68.649;-48.92;67.814;25.099;29.308.099.999.999.900;g
293.424;161.814;25.496;0.3272;0.165;-518.263;237.665;77.365;39.189;168.084;g
478.275;18.509;2.747;0.2775;0.1603;287.838;-290.817;-7.859;4.798;159.704;g
732.547;195.552;25.545;0.35700000000000004;0.1939;-441.258;345.939;166.915;23.149;282.616;g
260.862;125.473;24.099;0.4397;0.2354;163.451;149.018;56.343;41.527;183.852;g
942.369;176.341;27.727;0.297;0.1612;-97.071;50.552;-14.982.000.000.000.000;1.854;302.219;g
381.089;15.08;23.927;0.3887;0.2126;-214.336;-293.931;133.864;13.741;154.264;g
335.874;17.46;25.821;0.3979;0.2134;-490.296;-76.514;5.127.000.000.000.000;25.656.999.999.999.900;166.95;g
508.293;200.939;33.959;0.2162;0.1236;387.703;41.463;93.292;36.565;189.155;g
250.275;128.142;25.391;0.4884;0.3078;-125.331;-89.993;123.285;652.451;727.386;g
268.928;177.678;28.439;0.3782;0.2357;-16.706;-8.158.999.999.999.990;-158.111;23.820.999.999.999.900;109.02;g
280.883;68.084;22.504;0.5899;0.3174;-77.092;-174.113;-28.594;27.549;146.596;g
358.144;123.164;2.57;0.39299999999999996;0.214;178.018;20.673.000.000.000.000;-62.792;23.123;142.372;g
293.108;146.309;26.464;0.4402;0.2223;61.452;-191.932;113.697;24.109;692.467;g
196.419;0.0;2.2;0.795;0.5710000000000001;-0.5678;52.697;0.0;34.817;182.016;g
236.924;88.987;23.181;0.6683;0.4543;239.812;141.032;-70.892;27.014;128.707;g
274.888;185.665;28.639;0.3078;0.1854;28.405;61.522;-100.668;235.868;188.636;g
117.749;332.446;31.921;0.1606;0.0806;989.071;12.993.200.000.000.000;-17.914;2.582;188.983;g
268.971;192.128;27.657;0.319;0.1655;-129.068;46.154;81.139;41.065;152.596;g
131.994;108.032;2.224;0.7761;0.4209;-145.262;18.356;-117.029;540.277;181.817;g
251.576;128.638;24.564;0.4615;0.23600000000000002;-241.639;111.073;78.713;47.777;149.657;g
182.028;158.708;24.526;0.5115;0.2945;189.639;18.329;53.072;25.957;489.988;g
706.584;198.319;31.041;0.2541;0.1334;-969.809;525.046;-126.086;0.45;288.263;g
10.170.299.999.999.900;395.491;39.457;0.1462;0.077;-157.872;704.115;221.504;40.677;327.251;g
581.232;235.601;28.837;0.1791;0.0922;-49.22;-334.621;115.684;20.194.000.000.000.000;940.063;g
207.445;173.249;25.916;0.4686;0.2446;117.553;170.726;-120.534;257.775;916.373;g
562.418;165.703;28.943;0.2092;0.1103;718.585;39.648;107.621;1.574;250.91;g
702.768;245.132;33.917;0.1294;0.0651;833.498;489.676;-123.834;29.261;23.361.700.000.000.000;g
812.317;322.546;37.262;0.1694;0.0893;355.667;669.446;128.892;4.155;295.38;g
327.059;171.981;25.804;0.4074;0.2142;466.935;131.053;153.472;403.711;997.447;g
423.725;202.021;32.909;0.2533;0.1343;-44.911;26.362;-111.395;0.6925;182.477;g
803.994;149.183;28.445;0.3004;0.1581;360.787;760.508;-10.599;5.066;272.617;g
255.688;190.735;22.911;0.7161;0.42200000000000004;167.068;25.194.000.000.000.000;-148.757;74.308;316.47;g
169.286;112.814;24.116;0.5736;0.3314;-12.345;58.021;60.007;185.125;19.003.900.000.000.000;g
188.734;17.772.000.000.000.000;25.821;0.4686;0.2579;-146.576;-169.343;-144.939;171.286;11.493.799.999.999.900;g
341.619;212.966;29.974;0.2907;0.1554;-46.579;-116.112;118.667;116.079;163.722;g
300.005;216.966;29.339.999.999.999.900;0.3062;0.1857;233.297;176.318;-185.123;27.943;15.152.200.000.000.000;g
413.848;324.617;27.938;0.3521;0.1889;-204.985;282.927;281.989;9.628;308.373;g
252.228;136.075;23.738;0.4989;0.2939;-12.181;-128.844;113.032;66.649;789.436;g
216.891;103.849;2.316;0.5604;0.2923;58.526;-176.826;102.235;15.485;23.215.400.000.000.000;g
205.839;128.876;24.191;0.4724;0.2648;125.054;127.741;-81.001;26.586;199.96;g
252.091;106.551;23.701;0.4989;0.3006;106.071;211.038;39.151;41.563;147.489;g
357.062;132.892;23.664;0.5204;0.32899999999999996;-321.031;-257.479;70.429;12.543;20.175.099.999.999.900;g
626.886;22.612;32.496;0.2077;0.1084;-100.913;-254.533;165.613;31.210.000.000.000.000;229.768;g
197.366;73.095;21.383;0.7636;0.4109;-35.091;103.719;-48.598;247.838;17.307.299.999.999.900;g
484.695;181.279;29.917;0.2345;0.1177;196.222;468.981;-105.913;6.955;203.072;g
225.702;0.0;21.629;0.7904;0.4021;53.609;-152.145;0.0;803.449;210.833;g
18.249.000.000.000.000;104.383;22.529;0.6034;0.3156;228.063;101.469;53.027;158.259;15.954.399.999.999.900;g
284.148;13.01;24.778;0.5923;0.4409;282.765;201.871;106.797;136.965;136.651;g
47.6;13.413;28.092;0.2762;0.1497;411.158;338.544;82.134;2.608;17.846.200.000.000.000;g
333.528;176.866;27.551;0.3796;0.275;15.898;276.711;-8.487;8.709;196.918;g
97.794;268.347;35.327;0.1516;0.077;297.042;953.544;120.158;32.128;256.435;g
131.155;101.083;21.973;0.8;0.5238;123.051;74.928;100.776;58.845;166.287;g
528.479;215.505;29.462;0.3667;0.2054;-532.694;279.502;-207.681;6.087.000.000.000.000;309.622;g
406.097;205.874;29.117;0.2304;0.1219;-55.945;160.028;-101.794;0.774;23.334.599.999.999.900;g
656.069;336.033;38.528;0.1433;0.073;-840.021;435.019;-239.483;0.7567;24.634.099.999.999.900;g
638.128;262.233;35.143;0.1958;0.1088;445.465;465.522;183.607;1.919;284.652;g
225.539;97.776;22.068;0.5589999999999999;0.2888;-40.544;165.945;104.839;9.215;236.65;g
59.817;14.838;28.808;0.3132;0.1678;-110.45;539.825;121.712;5.235;289.536;g
271.044;97.779;24.241;0.5198;0.3145;-122.606;-148.614;-117.431;29.844;22.556.599.999.999.900;g
21.776;127.202;2.356;0.6344;0.3722;84.346;155.208;-91.862;223.655;12.007.600.000.000.000;g
206.454;68.389.999.999.999.900;22.844;0.774;0.4545;203.461;149.016;57.986;27.533;17.599.200.000.000.000;g
916.174;399.496;40.942;0.0806;0.0406;-105.167;8.368.700.000.000.000;327.482;30.094;256.828;g
608.598;187.033;26.128;0.2561;0.1378;424.917;337.518;120.692;41.819.999.999.999.900;146.803;g
35.577;150.526;29.805;0.3964;0.2202;15.679;143.568;41.406;20.711;225.707;g
316.173;242.115;27.197;0.2402;0.1268;-237.309;28.864;-115.139;22.951;157.613;g
859.355;299.215;30.755;0.3134;0.1735;-440.508;-200.659;-14.117;47.597;335.983;g
200.777;126.181;2.404;0.5286;0.2939;141.429;15.065.999.999.999.900;78.845;36.457;132.889;g
596.124;308.693;34.791;0.1888;0.1113;267.671;547.397;-290.666;11.057;264.642;g
72.969;192.006;3.008;0.2749;0.1537;-473.236;421.489;-102.088;4.087;291.175;g
207.154;71.982;22.443;0.7066;0.3618;15.153;-88.118;59.528;884.999;189.577;g
23.807;100.712;24.289;0.5624;0.3184;73.563;16.855.999.999.999.900;-7.645;10.378;216.895;g
24.38;174.654;2.616;0.4915;0.3087;171.472;19.777;-142.938;0.8652;256.869;g
365.237;153.246;24.786;0.4252;0.2176;-572.893;292.074;-51.062;12.715;10.951.700.000.000.000;g
190.154;128.813;25.085;0.6326;0.4264;83.826;172.241;80.364;58.903;17.440.099.999.999.900;g
238.915;128.584;25.340.000.000.000.000;0.5088;0.3173;-194.911;-149.193;83.832;62.472;131.247;g
823.156;179.964;27.404;0.3636;0.2464;-558.407;-624.659;-179.965;10.08;288.194;g
728.104;143.361;3.096;0.307;0.1607;-549.261;585.437;-59.832;0.644;286.265;g
204.525;72.419;21.775;0.7243;0.3754;21.721;-96.562;-57.228;91.256;159.126;g
236.179;200.571;25.224;0.5495;0.3739;-1.574;-150.956;-11.354.000.000.000.000;47.786;862.468;g
800.169;299.756;36.714;0.1577;0.0898;204.369;244.273;-248.336;41.419.999.999.999.900;22.825.400.000.000.000;g
207.779;71.383;2.081;0.722;0.3693;-237.708;-107.906;-59.792;28.79;177.459;g
373.516;168.653;27.882;0.3958;0.2093;44.937;315.053;-116.112;1.713;184.572;g
250.056;167.048;22.753;0.4562;0.2308;105.704;183.557;-140.925;42.353;169.08;g
421.289;161.025;24.969;0.3121;0.1704;-379.885;-223.351;144.754;129.801;220.713;g
243.343;149.489;25.302;0.3953;0.1991;164.085;14.005.999.999.999.900;-132.107;10.288;12.597.200.000.000.000;g
178.912;150.832;23.075;0.6404;0.3818;15.604;11.248;155.561;44.74;22.580.900.000.000.000;g
216.327;172.218;25.434;0.4206;0.2246;79.688;96.019;144.923;10.615;186.555;g
607.883;275.272;28.868;0.2336;0.1201;886.317;-193.902;131.675;50.969.999.999.999.900;237.768;g
786.493;340.613;37.751;0.1103;0.0568;821.473;660.231;158.013;3.227;161.776;g
842.741;333.225;38.949;0.1233;0.0635;43.638.000.000.000.000;738.035;163.734;37.714;260.378;g
775.343;188.832;32.671;0.2584;0.1436;462.902;940.484;124.317;1.892;21.319.099.999.999.900;g
205.321;153.265;24.829;0.4803;0.2582;219.631;147.728;98.037;44.9;20.769.099.999.999.900;g
337.616;144.511;27.941;0.3759;0.2096;392.425;309.736;-6.915;32.376.999.999.999.900;140.921;g
680.121;276.698;30.824;0.2738;0.1576;-14.267.999.999.999.900;444.184;-261.683;39.746;313.967;g
231.657;127.022;22.201;0.5723;0.2982;182.871;94.278;-80.678;820.505;193.769;g
421.441;137.346;27.459;0.3339;0.1966;317.383;191.549;79.992;17.038;228.537;g
36.079;132.636;23.793;0.4301;0.2317;371.098;-171.724;84.708;263.559;147.636;g
743.456;37.459;32.412;0.1521;0.0801;598.813;831.157;-217.603;31.553;211.97;g
10.142.399.999.999.900;410.631;41.837;0.0793;0.0421;783.723;904.413;-275.737;61.992;265.012;g
431.994;17.500.999.999.999.900;28.011;0.2735;0.1431;449.467;403.342;-46.509;76.914;15.442.700.000.000.000;g
616.933;180.011;29.015;0.276;0.1449;474.507;389.838;136.166;2.926;234.109;g
232.114;18.430.999.999.999.900;27.466;0.414;0.2195;228.049;22.651.999.999.999.900;117.008;28.462;514.993;g
252.455;190.726;26.191;0.3678;0.1863;136.337;111.564;-75.994;816.368;22.906.099.999.999.900;g
782.002;231.372;32.357;0.2005;0.1212;57.955;861.356;16.129;12.616;217.965;g
315.256;74.577;23.324;0.6093;0.3837;331.918;21.022;-73.445;102.785;189.48;g
571.656;199.402;29.978;0.19699999999999998;0.1;112.262;444.537;142.419;12.267.000.000.000.000;247.114;g
263.353;162.775;26.522;0.34299999999999997;0.1793;-304.934;-153.203;-126.072;27.835;194.042;g
458.894;157.069;24.065;0.4;0.2059;-480.214;224.139;-9.317;17.371;22.700.799.999.999.900;g
392.192;141.085;28.534;0.4064;0.2306;369.605;317.324;52.607;91.923;225.515;g
52.221.000.000.000.000;122.973;26.435;0.4523;0.3125;-250.167;-412.341;6.56;5.096;185.44;g
231.587;0.0046;21.319;0.7675;0.3875;253.507;150.322;0.0;615.621;147.73;g
197.592;121.812;23.664;0.5419;0.2989;36.595;-112.892;-107.783;18.354;182.91;g
325.377;196.957;28.561;0.2925;0.1762;258.408;212.875;152.061;27.296.999.999.999.900;136.814;g
23.153.000.000.000.000;210.028;28.065;0.3622;0.2006;280.575;196.679;165.609;27.621;787.331;g
369.017;249.234;30.876;0.1855;0.0977;-24.734;-132.831;81.078;19.727;135.037;g
291.556;125.696;25.441;0.5257;0.27;-93.565;214.041;100.929;1.925;216.048;g
10.074.700.000.000.000;166.321;2.944;0.3322;0.21100000000000002;-110.411;744.191;-147.132;0.305;230.713;g
465.588;286.929;33.971;0.1864;0.0996;176.816;460.987;10.205;12.727;10.774.700.000.000.000;g
333.045;144.421;26.862;0.3687;0.2029;17.249;-99.052;8.066;52.437;215.956;g
298.023;109.847;22.999;0.4862;0.2882;277.037;243.173;85.655;0.35200000000000004;20.978.400.000.000.000;g
865.346;406.201;41.111;0.0915;0.0458;358.899;745.456;251.406;48.152;21.906.900.000.000.000;g
646.445;288.301;27.168;0.3186;0.1679;104.88;-546.747;-69.935;10.304;261.443;g
644.081;237.635;31.281;0.1951;0.1016;657.484;412.256;-111.654;10.067;22.449.099.999.999.900;g
20.683.000.000.000.000;72.158;20.233;0.7014;0.3649;-11.217;7.933;-5.933;56.923;137.98;g
688.466;174.731;27.835;0.3029;0.1802;-132.189;676.255;-88.232;0.13699999999999998;248.86;g
315.283;216.599;28.618;0.3368;0.1945;71.639;226.167;132.218;500.234;387.816;g
9.023.899.999.999.990;145.621;28.293;0.3526;0.1844;-129.945;371.621;75.805;3.241;303.714;g
209.663;127.298;23.274;0.4282;0.2141;169.437;59.588;-89.597;478.491;218.66;g
130.557;109.159;22.188;0.7613;0.4502;-140.863;52.668;105.095;741.884;17.567.700.000.000.000;g
799.539;319.315;31.602;0.2497;0.1518;533.845;876.757;162.707;177.108;17.144.099.999.999.900;g
449.999;256.517;3.03;0.2231;0.1405;-193.494;-12.725.999.999.999.900;-184.786;461.539;153.696;g
26.611;141.842;24.878;0.4195;0.2715;290.377;205.257;-82.908;295.051;135.119;g
70.457;229.878;30.195;0.2562;0.1496;435.397;681.553;-109.792;342.372;216.957;g
369.794;241.174;29.834;0.2213;0.12;112.818;85.158;108.997;46.43;939.373;g
163.371;116.489;23.464;0.6036;0.3131;-0.8501;46.868;39.635;697.431;22.403.099.999.999.900;g
712.234;178.914;29.445;0.2557;0.1494;684.368;711.737;-95.179;7.615;22.318.400.000.000.000;g
458.732;112.837;25.653;0.3837;0.21899999999999997;434.461;-193.437;29.659;46.366;192.525;g
33.429;298.932;27.792;0.2976;0.1538;-137.784;-314.401;-253.331;29.644.000.000.000.000;288.145;g
43.351.000.000.000.000;177.081;29.287;0.3477;0.221;373.736;315.782;-124.757;20.664;140.19;g
562.479;209.217;31.942;0.2168;0.1103;33.813;366.852;87.702;0.556;22.097.099.999.999.900;g
100.226;28.221.999.999.999.900;33.769;0.2179;0.1321;-420.608;-334.996;-136.411;44.376;299.45;g
344.244;96.598;24.955;0.4888;0.254;-298.832;231.758;69.027;27.604;182.12;g
222.442;113.451;25.735;0.5581;0.3298;-62.041;-190.011;-69.374;66.462;147.737;g
373.887;191.897;25.843;0.3333;0.18100000000000002;-281.468;-216.535;-104.241;1.818;245.343;g
926.284;33.594;35.469;0.1703;0.1134;-573.109;626.011;-131.964;6.877.999.999.999.990;273.371;g
322.468;130.261;26.532;0.3867;0.21;-140.759;-250.816;72.235;162.095;168.025;g
500.122;178.938;30.388;0.257;0.1331;429.603;197.787;-112.019;28.523;201.766;g
637.616;241.374;31.096;0.2712;0.1356;562.044;57.895;81.977;34.730.000.000.000.000;24.331.099.999.999.900;g
689.648;255.221;31.307;0.2102;0.1121;-766.982;526.603;21.811.999.999.999.900;0.402;25.300.599.999.999.900;g
807.093;472.876;35.386;0.1276;0.0704;-499.844;882.266;-253.392;30.763;280.767;g
496.601;220.999;31.746;0.3017;0.1843;179.069;-254.435;89.821;54.509;197.243;g
228.274;129.011;22.355;0.5581;0.311;-136.277;-120.722;-79.568;335.573;164.843;g
505.984;258.939;30.586;0.2464;0.1315;107.891;359.762;195.228;8.44;270.007;g
224.236;158.256;25.938;0.4968;0.3146;15.724;-207.925;-45.251;53.815;13.919.299.999.999.900;g
376.518;152.293;28.561;0.4805;0.3015;249.532;379.769;62.648;7.803;18.421.599.999.999.900;g
211.221;93.478;22.967;0.6970000000000001;0.452;184.225;201.723;-11.544;753.948;167.109;g
704.799;187.963;27.906;0.3142;0.2016;-88.956;43.637;-179.763;45.199;251.386;g
26.465.999.999.999.900;18.778;26.107;0.4044;0.2463;134.573;90.185;60.375;66.995;169.81;g
194.731;122.939;24.556;0.5219;0.3205;-1.0;98.855;-104.173;537.383;202.139;g
189.671;127.729;24.417;0.557;0.3165;161.166;115.546;-81.819;314.965;163.805;g
335.123;150.057;24.742;0.4866;0.3104;337.307;275.196;22.896;68.985;19.994.400.000.000.000;g
492.754;145.068;27.509;0.3141;0.1588;202.038;38.108.000.000.000.000;-11.145;1.985;177.428;g
114.806;228.821;26.716;0.3706;0.2524;-508.563;-13.010.299.999.999.900;24.28;41.91;12.757.700.000.000.000;g
245.581;15.468;26.628;0.3957;0.1989;102.036;126.949;85.211;26.996;16.525.799.999.999.900;g
171.997;73.014;22.844;0.8312;0.5532;34.739;4.489;52.467;19.79;21.731.799.999.999.900;g
865.389;163.152;28.756;0.3023;0.1565;489.056;722.829;44.207;1.53;245.673;g
12.870.999.999.999.900;98.459;22.516;0.7899;0.5686;112.062;84.149;-54.993;40.035;146.03;g
361.618;259.263;31.178;0.2127;0.1216;140.562;201.419;147.248;33.371;142.269;g
211.474;168.163;25.599;0.4435;0.2658;29.268;-115.756;145.016;35.595;122.94;g
13.123;109.616;21.569;0.7666;0.4146;146.416;-40.114;116.445;881.516;988.626;g
535.736;25.803;35.737;0.1956;0.0986;392.808;584.267;149.922;7.596;171.407;g
291.123;180.166;2.635;0.3175;0.1657;112.887;267.753;-107.571;36.953;190.445;g
744.746;134.246;29.717;0.2818;0.1435;184.636;765.354;-93.669;5.847;286.639;g
294.259;170.431;24.526;0.3633;0.2028;-146.546;-155.914;81.478;45.059;142.487;g
40.749;261.492;32.122;0.1933;0.1009;299.765;-245.987;89.177;8.363.999.999.999.990;169.123;g
338.898;176.924;29.647;0.3026;0.1719;138.792;258.841;76.886;6.891;907.788;g
856.478;201.038;33.537;0.2719;0.2004;-432.684;616.568;-194.233;0.7472;318.342;g
214.944;104.204;22.304;0.5588;0.3088;-44.301;167.152;-85.553;148.311;207.058;g
